Problem Size, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
500000,58362,131.4,122.0,134.0,47.0
500000,41055,125.0,121.8,134.2,43.6
500000,30295,118.8,118.8,128.2,40.8
500000,7395,115.8,115.6,128.2,43.8
500000,59643,131.4,122.2,134.0,43.8
500000,52548,128.0,119.0,128.2,46.8
500000,45058,125.0,121.8,128.2,44.0
500000,35905,121.8,121.8,134.4,43.4
500000,30474,128.2,122.0,131.2,43.6
500000,60110,134.2,125.0,131.2,47.0
500000,5910,122.0,112.6,125.0,43.8
500000,37408,128.2,125.0,131.0,40.6
500000,10489,125.0,118.8,137.4,47.0
500000,35881,128.0,125.0,134.4,43.8
500000,43883,125.0,125.0,131.4,47.0
500000,37606,125.0,118.8,128.0,47.0
500000,22755,122.0,122.0,140.6,44.0
500000,34752,125.0,121.8,137.2,43.8
500000,36002,125.0,125.0,131.4,40.4
500000,10914,118.6,118.6,134.4,43.6
500000,14696,118.6,125.0,131.2,43.8
500000,55228,128.2,128.2,137.4,47.0
500000,55878,131.2,125.0,134.4,47.0
500000,9107,115.6,118.6,131.4,43.6
500000,17574,125.0,125.0,140.2,47.0
500000,24500,121.8,121.8,137.4,46.8
500000,33766,124.8,121.8,137.8,46.8
500000,27736,121.8,122.0,134.4,46.8
500000,2487,115.4,121.8,137.4,46.8
500000,16919,125.0,124.8,143.8,40.6
500000,30267,124.8,121.8,134.4,46.8
500000,39992,125.0,125.0,137.8,46.8
500000,7789,122.0,118.8,131.0,43.8
500000,3803,125.0,125.0,137.6,44.0
500000,62337,128.2,125.0,134.2,46.8
500000,54373,131.4,121.6,134.6,46.8
500000,42250,128.4,121.8,131.0,47.0
500000,44974,134.6,134.2,140.2,47.0
500000,46763,131.2,125.0,134.6,47.0
500000,16596,122.0,125.0,137.4,43.8
500000,60801,134.6,128.2,134.4,46.6
500000,54358,128.2,128.2,137.2,50.0
500000,23548,121.8,118.8,131.4,46.8
500000,13514,121.8,125.0,134.4,40.8
500000,47483,131.2,121.8,137.4,47.0
500000,7830,118.8,118.8,131.2,43.8
500000,51269,131.4,125.0,134.0,43.8
500000,6440,115.8,115.8,128.2,37.6
500000,32601,125.0,128.2,134.2,46.8
500000,29096,125.0,125.0,131.2,44.0
500000,54034,131.2,125.0,131.2,47.0
500000,14510,122.0,121.8,134.4,43.6
500000,53097,125.0,118.6,137.4,43.8
500000,50221,125.0,125.0,134.6,47.0
500000,27107,121.8,125.0,137.6,43.8
500000,15040,121.8,125.0,134.4,37.4
500000,28046,125.0,122.0,134.6,37.4
500000,13920,121.8,119.0,134.4,43.6
500000,36230,128.0,125.0,137.4,44.0
500000,4205,115.4,125.0,137.4,47.0
500000,38787,128.0,121.8,137.4,43.8
500000,42786,131.2,125.0,137.4,43.8
500000,23187,122.0,125.0,140.8,47.0
500000,23744,115.4,121.8,137.4,46.8
500000,12390,122.0,121.8,137.4,43.8
500000,2120,118.8,121.8,137.4,47.0
500000,62219,131.4,125.0,131.2,47.0
500000,60146,128.2,125.0,134.0,43.8
500000,11508,121.8,125.0,134.4,43.6
500000,39390,125.0,125.0,137.8,40.6
500000,50704,125.0,131.4,137.8,46.8
500000,30312,125.0,118.6,137.2,43.8
500000,46927,131.0,118.6,134.6,46.8
500000,61073,131.4,125.0,131.2,46.8
500000,12714,118.6,119.0,137.6,40.8
500000,43166,128.2,125.0,134.4,40.8
1000000,45837,293.8,287.4,303.4,119.0
1000000,95517,306.2,287.6,296.8,112.6
1000000,64897,299.8,290.6,293.8,121.8
1000000,76859,306.4,284.2,296.8,115.6
1000000,87343,309.4,287.8,303.2,118.8
1000000,39621,287.6,284.4,299.8,119.0
1000000,90419,300.0,296.8,303.2,118.8
1000000,69118,303.4,290.6,290.8,109.6
1000000,72318,296.8,290.6,303.2,119.0
1000000,36704,290.6,287.4,293.8,115.4
1000000,42022,300.0,287.8,293.8,112.6
1000000,47826,299.8,284.4,297.0,112.4
1000000,72243,299.6,290.6,315.8,122.0
1000000,98448,303.2,287.6,296.8,115.8
1000000,29990,291.0,287.4,297.0,118.6
1000000,72007,296.6,287.8,297.0,118.6
1000000,93969,306.2,284.4,300.0,125.0
1000000,41317,290.6,281.2,293.8,125.0
1000000,111216,312.6,291.0,297.0,121.8
1000000,118142,312.4,293.6,306.6,121.8
1000000,19009,284.4,284.6,287.6,112.6
1000000,10988,293.6,284.4,293.8,115.6
1000000,31380,300.0,284.4,293.8,122.0
1000000,59859,293.8,297.0,296.8,109.8
1000000,59582,303.4,281.0,296.8,115.8
1000000,48900,296.6,284.4,293.6,112.4
1000000,95059,303.2,284.2,300.0,115.8
1000000,57453,293.6,284.4,293.8,112.2
1000000,81536,296.8,281.4,297.0,122.0
1000000,95187,296.8,300.2,306.2,118.8
1000000,37418,293.8,287.4,296.8,115.4
1000000,66089,299.8,287.4,300.0,118.8
1000000,26102,287.4,281.2,300.2,112.6
