Bound, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
1000000,86398,1.27160784E7,1.710102736E8,1.664283072E8,9.3383904E7,3.76116512E7
1000000,124494,1.08442944E7,1.71260024E8,1.670833568E8,9.33792432E7,3.76111904E7
1000000,67311,8194705.6,1.709742384E8,1.664009424E8,9.5568792E7,3.54967568E7
1000000,61381,4549654.4,1.624707728E8,1.578800432E8,8.69980576E7,1.87249168E7
1000000,221246,1.8280896E7,1.752297008E8,1.71056104E8,9.80011808E7,4.2105552E7
1000000,241333,1.8490664E7,1.770647104E8,1.710889504E8,9.80105392E7,4.21040688E7
1000000,190297,1.72870144E7,1.77254744E8,1.720689056E8,9.80230896E7,4.21090704E7
1000000,20974,4546729.6,1.664373056E8,1.617695424E8,9.09154512E7,3.40619008E7
1000000,68451,8171516.8,1.709284848E8,1.664178544E8,9.3382928E7,3.75550752E7
1000000,22922,4563728.0,1.663608112E8,1.617703872E8,9.33330816E7,3.76001392E7
1000000,80458,9186584.0,1.710323664E8,1.66389144E8,9.55093744E7,3.58601712E7
1000000,119630,9103204.8,1.711033792E8,1.662567312E8,9.3841368E7,3.76135968E7
1000000,245649,2.17947024E7,1.801570096E8,1.709751088E8,9.830168E7,4.21051376E7
1000000,168277,1.41166224E7,1.756361648E8,1.71123432E8,9.8007016E7,4.20907264E7
1000000,175611,1.41724016E7,1.772638208E8,1.711989712E8,9.8981728E7,4.21056976E7
1000000,74863,9179763.2,1.714800032E8,1.66620344E8,9.34387296E7,3.76089984E7
1000000,108126,1.273056E7,1.709348176E8,1.67068968E8,9.55156464E7,3.806048E7
1000000,137173,1.2719624E7,1.709753392E8,1.664218448E8,9.79499616E7,3.76115152E7
1000000,87747,9084984.0,1.70967016E8,1.664240544E8,9.54807808E7,3.58590944E7
1000000,103243,9289547.2,1.709714784E8,1.66839896E8,9.55166048E7,3.8031248E7
1000000,247267,2.03686896E7,1.798870416E8,1.713486496E8,1.02564168E8,4.21055152E7
1000000,165410,1.38612976E7,1.756944928E8,1.710835248E8,9.96101088E7,4.21068272E7
1000000,123978,1.27440448E7,1.71020136E8,1.669454464E8,9.34209408E7,3.76128352E7
1000000,154180,1.36470208E7,1.755976128E8,1.664469392E8,9.7960608E7,4.21528352E7
1000000,18396,8188296.0,1.663738048E8,1.6177868E8,9.08824512E7,3.40622272E7
1000000,117587,9080068.8,1.620499344E8,1.57760424E8,8.70048528E7,2.07988032E7
1000000,56633,4548222.4,1.709630752E8,1.663303824E8,9.55033344E7,3.55143312E7
