Bound, Solutions, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
50000,1478117,1.313998192E8,1.276064304E8,8.31524288E7,3.25158016E7
50000,1133711,1.146243184E8,1.110930128E8,7.27460752E7,2.5327928E7
50000,2797390,1.421767648E8,1.36916704E8,1.15482512E8,6.58712128E7
50000,1341408,1.273615392E8,1.235495232E8,8.1094456E7,3.16000464E7
50000,3256086,1.594244608E8,1.502769072E8,1.180065824E8,6.71315776E7
50000,1740719,1.382028448E8,1.33022656E8,8.33236656E7,3.44398816E7
50000,3724955,1.736650352E8,1.606826128E8,1.197657072E8,7.09867856E7
50000,3794091,1.664451808E8,1.598955664E8,1.204490816E8,6.94121648E7
50000,913831,1.086702128E8,1.06461472E8,7.38295488E7,2.4889968E7
50000,2048655,1.569212704E8,1.508806896E8,9.61705584E7,4.75798048E7
50000,1176802,1.170771408E8,1.119657168E8,7.37469296E7,2.50198992E7
50000,645852,9.8060064E7,9.59697696E7,6.7194928E7,1.6690024E7
50000,4915771,2.224961744E8,2.159883664E8,1.491337488E8,1.02056336E8
50000,1850217,1.522863008E8,1.462890432E8,9.48648176E7,4.6782848E7
50000,2636259,1.15518616E8,1.135778832E8,9.79545248E7,4.99908176E7
50000,2723282,1.208142192E8,1.152499536E8,9.83987344E7,5.0405616E7
50000,391135,8.69206048E7,8.66079328E7,6.35092416E7,1.27036256E7
50000,4986744,1.702550432E8,1.913572272E8,1.307446288E8,1.009636928E8
50000,2995858,1.39799816E8,1.3396364E8,1.161081888E8,6.85221648E7
50000,4489099,2.05342664E8,1.887845856E8,1.485390544E8,1.006918288E8
50000,2238176,1.642373712E8,1.57791048E8,9.75325552E7,4.76395376E7
50000,2200493,1.624838944E8,1.539626512E8,9.72728912E7,4.87051632E7
50000,530552,9.04621168E7,9.04223536E7,6.50158016E7,1.25008944E7
50000,2123218,1.603107952E8,1.5314788E8,9.63034096E7,4.76541392E7
50000,1314166,1.262843664E8,1.246968912E8,8.32145152E7,3.33616944E7
50000,4761315,2.12586168E8,2.008968608E8,1.49724304E8,9.9491392E7
50000,2698141,1.750271024E8,1.67321416E8,9.78072496E7,4.84279232E7
50000,4906681,2.168471312E8,2.021939056E8,1.495214752E8,1.003646992E8
50000,4356525,1.905835152E8,1.836304576E8,1.471838512E8,9.82357808E7
50000,3432555,2.127183568E8,2.01416968E8,1.187852224E8,7.13136528E7
50000,4470876,1.936082816E8,1.865527024E8,1.46727304E8,9.78986032E7
50000,4345178,1.88345584E8,1.823376304E8,1.475168384E8,9.81572352E7
50000,4689987,1.970124832E8,1.915882864E8,1.486246288E8,9.8716232E7
50000,2335593,1.67457368E8,1.571916736E8,9.75001232E7,4.98233808E7
50000,56623,7.44263136E7,7.35873712E7,5.49639088E7,8525588.8
50000,4334931,1.946889456E8,1.85939664E8,1.480002016E8,9.65225904E7
50000,3729049,1.47717408E8,1.426382304E8,1.195214432E8,7.17969504E7
50000,4710107,2.002633664E8,1.943364528E8,1.48869168E8,9.82402288E7
