Problem Size, Solutions, BinarySearch, HashMapIndexes, HashMapIndexes2, HashMapFrequencies, FastUtilsMap
250000,7162,31.2,28.2,27.6,23.2,18.6
250000,14440,31.0,34.2,28.2,28.2,16.0
250000,12629,31.2,31.6,27.0,18.8,15.2
250000,5319,30.8,25.4,25.0,21.8,21.8
250000,26403,37.4,32.2,27.8,27.8,21.8
250000,24047,38.0,31.0,25.2,24.8,21.8
250000,19813,37.6,31.4,28.0,28.0,22.0
250000,21260,34.8,26.4,27.0,25.2,19.0
250000,21328,31.2,26.6,27.6,15.8,15.6
250000,12490,31.0,31.6,27.8,22.2,15.4
250000,28899,36.8,31.4,31.0,24.8,22.0
250000,24586,37.8,28.0,28.2,26.6,18.6
250000,26418,43.4,30.2,33.8,31.2,22.0
250000,15361,38.4,28.2,26.6,24.6,18.8
250000,22925,40.0,28.4,28.0,16.0,19.0
250000,25929,37.6,30.8,25.0,18.8,15.8
250000,30428,38.6,32.4,24.8,25.2,21.8
250000,15888,35.6,25.8,28.0,28.2,21.8
250000,16455,34.2,28.0,32.2,31.0,25.4
250000,12627,30.8,31.8,28.2,21.4,17.2
250000,4100,28.6,22.2,21.8,24.8,17.2
250000,13610,31.0,30.8,27.6,31.2,19.0
250000,4389,26.0,28.0,22.2,22.2,25.2
250000,29937,53.4,41.4,30.0,31.6,30.4
250000,9087,31.2,28.2,27.8,22.0,16.4
250000,8280,34.4,28.0,22.0,28.0,25.0
250000,29780,40.4,31.8,28.6,25.2,18.4
250000,8207,28.6,22.2,25.2,27.0,24.8
250000,9853,31.2,29.2,21.8,24.8,18.6
250000,21519,40.4,32.0,30.4,28.0,22.2
250000,24823,44.0,27.0,28.0,28.0,25.0
250000,23277,41.4,24.8,29.6,24.8,21.8
250000,19135,34.2,25.8,28.2,25.0,18.6
250000,6651,31.2,28.4,25.0,18.4,23.2
250000,24821,40.0,25.2,21.8,28.2,18.4
250000,13311,31.0,24.8,31.2,27.8,25.0
250000,26358,37.2,26.2,27.8,24.8,18.6
250000,1740,31.0,28.0,28.0,31.0,21.8
250000,5008,27.8,25.0,27.4,28.6,21.6
250000,73,28.4,28.0,23.2,24.6,18.8
250000,18915,37.6,21.8,28.0,24.8,21.6
250000,14640,33.8,21.6,31.4,27.8,25.6
250000,31162,43.4,31.0,28.0,25.4,13.8
250000,9786,33.8,31.4,32.2,31.4,27.8
250000,29383,46.4,33.8,31.0,28.0,22.0
250000,13617,34.0,31.4,37.8,31.2,25.2
250000,14602,37.6,34.8,22.8,34.8,19.2
250000,9961,38.8,31.0,34.8,26.6,25.0
250000,24258,43.6,34.6,34.4,36.8,27.2
250000,26004,47.4,37.4,27.6,28.6,20.2
250000,24984,43.8,28.8,25.0,34.4,27.2
250000,10101,34.6,34.2,34.0,31.0,22.8
250000,418,30.0,25.0,31.0,21.8,28.0
250000,15264,43.8,34.2,36.2,28.0,24.2
250000,7504,31.6,27.8,31.2,28.0,17.2
250000,24840,46.6,37.4,29.0,28.0,28.0
250000,24334,43.6,37.2,31.2,32.2,25.2
250000,26690,43.8,37.2,31.2,28.6,27.6
250000,19738,46.8,33.0,31.0,26.4,25.2
250000,15673,40.6,37.4,31.2,35.0,30.0
250000,24418,47.0,34.2,34.0,25.0,24.2
250000,30959,45.2,31.6,31.6,28.2,25.6
250000,13399,34.6,30.8,31.0,24.4,25.2
250000,11577,37.2,37.8,35.4,25.2,21.8
250000,9863,37.4,34.0,31.4,25.2,22.6
250000,11344,34.6,34.6,34.4,24.8,17.4
250000,10940,37.2,37.6,34.2,34.4,29.0
250000,15816,37.4,36.8,34.4,30.0,21.8
250000,23875,49.2,37.4,29.8,28.0,18.8
250000,14112,40.2,28.2,31.4,30.6,31.4
250000,22846,40.4,37.4,31.0,31.2,21.8
250000,10197,36.0,34.4,28.2,29.4,25.0
250000,2373,34.4,39.2,34.6,31.4,28.0
250000,2678,38.0,37.4,34.2,31.2,28.4
250000,17834,43.8,40.2,34.8,37.6,31.2
250000,14977,34.6,31.8,31.2,30.8,21.8
250000,15294,30.4,31.4,25.0,22.0,20.8
250000,14426,25.0,28.4,28.2,18.2,15.8
250000,19734,31.8,28.2,28.2,29.0,21.8
250000,12789,31.6,25.2,28.0,21.8,21.4
250000,6390,22.0,28.4,32.2,25.0,21.8
250000,19508,32.2,25.0,28.4,29.4,18.8
250000,8238,27.8,24.8,28.2,18.6,21.6
500000,17869,62.0,53.2,50.0,59.0,56.2
500000,27982,65.2,59.0,50.2,52.4,47.8
500000,9053,58.8,60.6,53.0,59.2,46.8
500000,50624,78.0,56.0,53.4,56.6,50.2
500000,48190,75.0,50.2,50.8,56.6,53.0
500000,54523,77.4,49.6,47.0,54.8,53.2
500000,865,62.2,63.4,56.2,55.8,46.6
500000,5048,63.4,53.4,49.6,56.4,51.8
500000,7163,59.8,55.8,50.2,54.4,52.8
500000,25278,65.6,56.0,52.8,53.2,49.8
500000,26567,68.4,50.0,52.8,56.2,47.0
500000,34721,65.2,51.2,52.8,59.4,46.2
500000,13939,59.2,56.2,53.8,56.2,52.4
500000,43501,71.6,57.0,47.0,46.6,49.8
500000,18768,64.6,53.2,55.8,58.2,50.0
500000,11830,62.2,56.0,51.6,52.8,48.8
500000,34067,66.6,49.6,53.2,55.8,47.0
500000,35647,71.6,56.0,53.0,52.4,56.6
500000,15235,52.8,55.8,53.2,54.2,50.0
500000,52531,84.6,54.0,49.8,59.4,55.2
500000,43848,78.0,53.4,51.2,53.2,56.2
500000,4059,53.6,52.2,50.0,56.0,44.0
500000,61313,83.4,56.8,52.8,56.6,56.2
500000,58880,77.8,50.2,52.6,56.6,49.6
500000,38127,68.2,50.0,50.8,53.2,46.8
500000,8826,59.4,50.2,47.0,56.2,44.0
500000,62639,83.8,53.4,53.0,60.2,53.2
500000,15267,57.6,53.0,53.0,56.2,52.8
500000,34566,67.4,50.2,50.0,52.6,43.6
500000,61084,80.6,57.2,56.0,56.2,50.0
500000,57878,77.4,53.0,49.6,59.4,53.2
500000,35765,68.4,55.8,53.2,53.0,50.0
500000,39740,68.6,55.2,49.4,53.0,48.8
500000,39835,75.4,59.4,53.0,62.0,53.2
500000,51952,80.2,50.2,46.8,52.6,51.4
500000,19965,65.2,49.8,49.6,49.8,52.2
500000,41276,76.4,52.6,53.0,61.4,49.4
500000,43609,72.2,53.8,50.2,53.2,52.0
500000,23487,65.4,49.4,47.0,49.6,46.6
500000,562,50.0,52.8,52.8,53.2,49.4
500000,20237,68.2,60.2,53.6,53.0,47.6
500000,2956,53.2,47.6,50.0,52.8,50.4
500000,39637,72.0,54.6,53.0,53.4,49.4
